method,partition,mAP,recall,precision,f1,iou,accuracy,precision_std,recall_std,f1_std,iou_std,accuracy_std,n_scenes
BiRefNet,N5K,95.82,98.2,95.82,96.95,94.09,98.78,2.1,2.46,0.76,1.43,0.58,10
CCNet,N5K,93.94,97.01,93.94,95.39,91.28,98.1,1.26,3.46,2.03,3.62,1.24,10
CCNet-Re,N5K,95.3,95.82,95.3,95.48,91.45,98.18,1.88,3.86,2.04,3.62,1.19,10
DEVA,N5K,78.41,96.88,78.41,83.61,76.23,90.42,17.21,4.59,13.4,17.77,8.61,10
DoraemonGPT,N5K,0.0,0.0,0.0,0.0,0.0,80.72,0.0,0.0,0.0,0.0,7.6,10
FLMM,N5K,56.23,44.34,56.23,48.22,42.78,90.08,33.56,25.85,27.7,24.85,4.33,10
FLMM+S2,N5K,57.32,52.34,57.32,53.41,41.42,86.14,22.1,23.89,22.27,18.75,4.16,10
FLMM+X2,N5K,67.21,58.64,67.21,61.69,56.53,92.66,46.4,43.72,43.85,41.98,6.8,10
FPN-Re,N5K,85.79,96.81,85.79,90.48,83.3,96.39,6.82,2.87,4.03,6.14,0.73,10
FoodMem,N5K,94.35,99.01,94.35,96.6,93.45,98.58,1.77,0.91,0.83,1.54,0.8,10
SETR_MLA,N5K,94.79,97.96,94.79,96.31,92.91,98.52,1.73,1.71,0.9,1.67,0.74,10
SeTM+S2,N5K,64.75,68.29,64.75,66.18,52.84,87.26,5.3,6.02,5.52,6.24,3.98,10
SeTN,N5K,95.17,96.45,95.17,95.73,91.86,98.28,2.24,3.15,1.55,2.78,0.98,10
SegMan_ADE,N5K,62.25,92.12,62.25,70.61,57.28,85.75,9.67,9.24,11.08,11.67,3.57,10
Swin-B,N5K,93.81,98.45,93.81,96.0,92.41,98.4,1.74,1.02,0.74,1.33,0.66,10
Swin-S,N5K,93.26,98.85,93.26,95.93,92.22,98.36,2.14,0.97,0.89,1.65,0.72,10
Y+S2,N5K,64.9,62.85,64.9,61.92,48.89,86.59,5.76,17.32,13.76,13.31,5.08,10
Y+X2,N5K,93.39,86.69,93.39,87.5,81.38,95.59,1.77,24.85,19.34,23.08,6.34,10
YOLO,N5K,86.51,78.22,86.51,79.06,72.69,94.34,11.35,22.54,18.9,21.17,5.3,10
kMean++,N5K,25.56,43.93,25.56,31.2,20.37,64.11,14.86,20.62,15.95,12.25,5.07,10
BiRefNet,MTF,59.77,98.0,59.77,67.37,58.75,94.78,28.24,2.69,24.95,27.8,3.75,13
CCNet,MTF,96.02,87.97,96.02,89.98,85.55,99.47,5.18,17.02,14.34,17.11,0.49,13
CCNet-Re,MTF,96.32,89.65,96.32,91.52,87.14,99.48,4.31,17.73,14.37,17.61,0.62,13
DEVA,MTF,90.63,97.33,90.63,92.5,88.25,99.4,18.18,3.18,13.31,17.59,0.91,13
FLMM,MTF,47.86,46.72,47.86,46.69,44.78,97.49,28.31,27.89,27.72,26.98,1.41,13
FLMM+S2,MTF,35.27,38.64,35.27,35.16,25.17,93.67,21.1,20.06,20.92,16.62,3.9,13
FLMM+X2,MTF,52.45,53.01,52.45,52.67,51.62,98.03,50.59,51.13,50.77,49.82,2.41,13
FPN-Re,MTF,69.1,87.81,69.1,73.26,63.37,97.09,20.34,17.85,19.73,21.78,1.5,13
FoodMem,MTF,98.34,97.65,98.34,97.91,96.05,99.84,2.02,2.88,1.65,3.01,0.12,13
SETR_MLA,MTF,97.47,94.52,97.47,95.66,92.16,99.69,2.26,5.66,3.44,5.62,0.19,13
SeTN,MTF,95.73,91.9,95.73,92.82,88.01,99.41,6.58,8.77,6.55,9.49,0.62,13
Swin-B,MTF,95.09,93.36,95.09,93.4,88.89,99.49,4.27,7.57,4.76,7.52,0.27,13
Swin-S,MTF,96.62,92.9,96.62,94.2,89.96,99.57,2.77,6.31,3.96,6.26,0.27,13
Y+S2,MTF,27.39,32.4,27.39,26.71,18.91,82.07,20.64,19.36,19.63,15.16,27.82,13
Y+X2,MTF,77.13,88.84,77.13,77.25,73.81,91.12,40.05,27.39,37.22,38.56,20.79,13
YOLO,MTF,73.36,76.03,73.36,73.4,70.59,97.27,25.22,24.85,25.23,25.25,2.17,13
kMean++,MTF,69.72,70.03,69.72,65.98,54.57,97.21,19.84,32.19,26.03,25.66,1.94,13
BiRefNet,VF,49.65,86.73,49.65,56.31,47.53,93.29,7.63,9.46,9.28,11.37,3.09,4
CCNet,VF,77.03,74.61,77.03,69.36,61.22,97.62,24.15,6.53,16.8,20.19,3.01,4
CCNet-Re,VF,74.49,88.48,74.49,77.49,68.97,97.58,24.17,10.71,22.12,25.79,3.08,4
DEVA,VF,75.78,93.26,75.78,79.69,74.41,96.87,31.25,12.74,28.55,33.27,5.05,4
FLMM,VF,35.56,45.67,35.56,37.69,33.01,95.6,20.61,26.78,23.08,22.19,2.27,4
FLMM+S2,VF,40.1,47.99,40.1,32.29,21.64,93.32,6.53,20.66,10.76,9.16,0.59,4
FLMM+X2,VF,22.17,43.31,22.17,26.86,20.37,94.79,26.33,51.19,32.33,25.22,1.99,4
FPN-Re,VF,68.92,87.14,68.92,73.11,63.36,97.26,20.01,9.71,18.97,21.35,2.95,4
FoodMem,VF,82.63,91.68,82.63,84.28,79.12,98.13,27.77,12.65,25.76,31.24,3.31,4
SETR_MLA,VF,80.01,90.25,80.01,81.85,75.61,97.94,26.7,11.85,24.65,29.37,3.31,4
SeTM+S2,VF,41.18,48.34,41.18,33.13,22.47,93.5,6.24,19.99,10.52,8.98,0.59,4
SeTN,VF,74.04,89.89,74.04,77.5,69.8,97.36,24.72,10.93,22.95,26.9,3.49,4
Swin-B,VF,78.48,89.97,78.48,80.81,73.85,97.8,27.1,11.48,24.75,29.03,3.46,4
Swin-S,VF,72.41,90.37,72.41,76.97,68.76,97.36,24.08,11.49,22.61,25.98,3.41,4
Y+S2,VF,41.03,48.84,41.03,33.3,22.59,93.47,6.02,20.02,10.4,8.89,0.57,4
Y+X2,VF,81.1,92.0,81.1,83.61,77.86,98.06,26.84,12.57,25.3,30.34,3.3,4
YOLO,VF,47.92,68.92,47.92,52.82,45.5,95.4,8.73,4.05,7.72,11.15,2.43,4
kMean++,VF,41.83,50.4,41.83,41.38,32.64,95.03,27.95,38.18,31.14,26.29,3.24,4
BiRefNet,FKIT,98.65,98.88,98.65,98.69,97.55,99.93,0.81,1.1,0.6,0.98,0.05,21
CCNet,FKIT,91.87,75.96,91.87,79.73,74.28,99.29,12.48,25.88,23.6,25.17,0.87,21
CCNet-Re,FKIT,89.75,86.06,89.75,85.09,79.23,99.28,8.49,16.16,13.58,14.79,0.46,21
FLMM,FKIT,57.19,58.35,57.19,57.29,55.03,98.9,21.84,22.49,21.95,21.28,0.64,21
FLMM+S2,FKIT,43.58,44.08,43.58,42.63,30.51,97.32,9.78,9.51,9.6,8.4,0.84,21
FPN-Re,FKIT,88.96,84.7,88.96,84.31,76.57,99.27,4.61,13.48,10.64,12.83,0.45,21
FoodMem,FKIT,96.34,92.53,96.34,92.98,91.44,99.72,11.39,23.3,21.6,22.96,0.87,21
SETR_MLA,FKIT,96.97,88.8,96.97,90.88,86.71,99.6,2.66,19.56,16.28,18.84,0.69,21
SeTN,FKIT,89.83,77.66,89.83,80.48,74.13,99.18,12.05,25.1,22.33,24.04,1.01,21
Swin-B,FKIT,92.59,88.89,92.59,88.92,83.93,99.51,4.46,13.69,10.81,12.25,0.42,21
Swin-S,FKIT,89.45,82.76,89.45,82.24,76.33,99.21,5.83,21.73,18.0,19.58,0.68,21
Y+S2,FKIT,43.6,41.31,43.6,40.41,28.77,97.33,9.92,13.2,12.2,10.21,0.88,21
Y+X2,FKIT,87.81,89.93,87.81,88.76,87.29,99.68,29.28,29.92,29.55,29.11,0.74,21
YOLO,FKIT,59.7,64.14,59.7,59.5,56.02,95.37,21.26,22.52,21.29,20.51,6.6,21
kMean++,FKIT,47.07,58.66,47.07,45.8,36.79,94.87,23.37,29.61,24.14,22.25,3.45,21
