method,partition,metric,n_runs,mean,std,min,max
BiRefNet,N5K,mAP,5,95.8200,0.0000,95.8200,95.8200
BiRefNet,N5K,recall,5,98.2000,0.0000,98.2000,98.2000
BiRefNet,N5K,precision,5,95.8200,0.0000,95.8200,95.8200
BiRefNet,N5K,f1,5,96.9500,0.0000,96.9500,96.9500
BiRefNet,N5K,iou,5,94.0900,0.0000,94.0900,94.0900
BiRefNet,N5K,accuracy,5,98.7800,0.0000,98.7800,98.7800
BiRefNet,MTF,mAP,5,59.7700,0.0000,59.7700,59.7700
BiRefNet,MTF,recall,5,98.0000,0.0000,98.0000,98.0000
BiRefNet,MTF,precision,5,59.7700,0.0000,59.7700,59.7700
BiRefNet,MTF,f1,5,67.3700,0.0000,67.3700,67.3700
BiRefNet,MTF,iou,5,58.7500,0.0000,58.7500,58.7500
BiRefNet,MTF,accuracy,5,94.7800,0.0000,94.7800,94.7800
BiRefNet,VF,mAP,5,49.6500,0.0000,49.6500,49.6500
BiRefNet,VF,recall,5,86.7300,0.0000,86.7300,86.7300
BiRefNet,VF,precision,5,49.6500,0.0000,49.6500,49.6500
BiRefNet,VF,f1,5,56.3100,0.0000,56.3100,56.3100
BiRefNet,VF,iou,5,47.5300,0.0000,47.5300,47.5300
BiRefNet,VF,accuracy,5,93.2900,0.0000,93.2900,93.2900
BiRefNet,FKIT,mAP,5,98.6500,0.0000,98.6500,98.6500
BiRefNet,FKIT,recall,5,98.8800,0.0000,98.8800,98.8800
BiRefNet,FKIT,precision,5,98.6500,0.0000,98.6500,98.6500
BiRefNet,FKIT,f1,5,98.6900,0.0000,98.6900,98.6900
BiRefNet,FKIT,iou,5,97.5500,0.0000,97.5500,97.5500
BiRefNet,FKIT,accuracy,5,99.9300,0.0000,99.9300,99.9300
CCNet,N5K,mAP,5,93.9400,0.0000,93.9400,93.9400
CCNet,N5K,recall,5,97.0100,0.0000,97.0100,97.0100
CCNet,N5K,precision,5,93.9400,0.0000,93.9400,93.9400
CCNet,N5K,f1,5,95.3900,0.0000,95.3900,95.3900
CCNet,N5K,iou,5,91.2800,0.0000,91.2800,91.2800
CCNet,N5K,accuracy,5,98.1000,0.0000,98.1000,98.1000
CCNet,MTF,mAP,5,96.0200,0.0000,96.0200,96.0200
CCNet,MTF,recall,5,87.9700,0.0000,87.9700,87.9700
CCNet,MTF,precision,5,96.0200,0.0000,96.0200,96.0200
CCNet,MTF,f1,5,89.9800,0.0000,89.9800,89.9800
CCNet,MTF,iou,5,85.5500,0.0000,85.5500,85.5500
CCNet,MTF,accuracy,5,99.4700,0.0000,99.4700,99.4700
CCNet,VF,mAP,5,77.0300,0.0000,77.0300,77.0300
CCNet,VF,recall,5,74.6100,0.0000,74.6100,74.6100
CCNet,VF,precision,5,77.0300,0.0000,77.0300,77.0300
CCNet,VF,f1,5,69.3600,0.0000,69.3600,69.3600
CCNet,VF,iou,5,61.2200,0.0000,61.2200,61.2200
CCNet,VF,accuracy,5,97.6200,0.0000,97.6200,97.6200
CCNet,FKIT,mAP,5,91.8700,0.0000,91.8700,91.8700
CCNet,FKIT,recall,5,75.9600,0.0000,75.9600,75.9600
CCNet,FKIT,precision,5,91.8700,0.0000,91.8700,91.8700
CCNet,FKIT,f1,5,79.7300,0.0000,79.7300,79.7300
CCNet,FKIT,iou,5,74.2800,0.0000,74.2800,74.2800
CCNet,FKIT,accuracy,5,99.2900,0.0000,99.2900,99.2900
CCNet-Re,N5K,mAP,5,95.3000,0.0000,95.3000,95.3000
CCNet-Re,N5K,recall,5,95.8200,0.0000,95.8200,95.8200
CCNet-Re,N5K,precision,5,95.3000,0.0000,95.3000,95.3000
CCNet-Re,N5K,f1,5,95.4800,0.0000,95.4800,95.4800
CCNet-Re,N5K,iou,5,91.4500,0.0000,91.4500,91.4500
CCNet-Re,N5K,accuracy,5,98.1800,0.0000,98.1800,98.1800
CCNet-Re,MTF,mAP,5,96.3200,0.0000,96.3200,96.3200
CCNet-Re,MTF,recall,5,89.6500,0.0000,89.6500,89.6500
CCNet-Re,MTF,precision,5,96.3200,0.0000,96.3200,96.3200
CCNet-Re,MTF,f1,5,91.5200,0.0000,91.5200,91.5200
CCNet-Re,MTF,iou,5,87.1400,0.0000,87.1400,87.1400
CCNet-Re,MTF,accuracy,5,99.4800,0.0000,99.4800,99.4800
CCNet-Re,VF,mAP,5,74.4900,0.0000,74.4900,74.4900
CCNet-Re,VF,recall,5,88.4800,0.0000,88.4800,88.4800
CCNet-Re,VF,precision,5,74.4900,0.0000,74.4900,74.4900
CCNet-Re,VF,f1,5,77.4900,0.0000,77.4900,77.4900
CCNet-Re,VF,iou,5,68.9700,0.0000,68.9700,68.9700
CCNet-Re,VF,accuracy,5,97.5800,0.0000,97.5800,97.5800
CCNet-Re,FKIT,mAP,5,89.7500,0.0000,89.7500,89.7500
CCNet-Re,FKIT,recall,5,86.0600,0.0000,86.0600,86.0600
CCNet-Re,FKIT,precision,5,89.7500,0.0000,89.7500,89.7500
CCNet-Re,FKIT,f1,5,85.0900,0.0000,85.0900,85.0900
CCNet-Re,FKIT,iou,5,79.2300,0.0000,79.2300,79.2300
CCNet-Re,FKIT,accuracy,5,99.2800,0.0000,99.2800,99.2800
DEVA,N5K,mAP,5,78.4100,0.0000,78.4100,78.4100
DEVA,N5K,recall,5,96.8800,0.0000,96.8800,96.8800
DEVA,N5K,precision,5,78.4100,0.0000,78.4100,78.4100
DEVA,N5K,f1,5,83.6100,0.0000,83.6100,83.6100
DEVA,N5K,iou,5,76.2300,0.0000,76.2300,76.2300
DEVA,N5K,accuracy,5,90.4200,0.0000,90.4200,90.4200
DEVA,MTF,mAP,5,90.6300,0.0000,90.6300,90.6300
DEVA,MTF,recall,5,97.3300,0.0000,97.3300,97.3300
DEVA,MTF,precision,5,90.6300,0.0000,90.6300,90.6300
DEVA,MTF,f1,5,92.5000,0.0000,92.5000,92.5000
DEVA,MTF,iou,5,88.2500,0.0000,88.2500,88.2500
DEVA,MTF,accuracy,5,99.4000,0.0000,99.4000,99.4000
DEVA,VF,mAP,5,75.7800,0.0000,75.7800,75.7800
DEVA,VF,recall,5,93.2600,0.0000,93.2600,93.2600
DEVA,VF,precision,5,75.7800,0.0000,75.7800,75.7800
DEVA,VF,f1,5,79.6900,0.0000,79.6900,79.6900
DEVA,VF,iou,5,74.4100,0.0000,74.4100,74.4100
DEVA,VF,accuracy,5,96.8700,0.0000,96.8700,96.8700
DEVA,FKIT,mAP,5,97.6100,0.0000,97.6100,97.6100
DEVA,FKIT,recall,5,99.3100,0.0000,99.3100,99.3100
