method,partition,continuity,flicker,drift,sigma,continuity_std,flicker_std,drift_std,sigma_std,n_scenes
BiRefNet,FKIT,99.6989,0.0794,0.3789,2.3285,0.6634,0.1799,0.239,3.2604,21
BiRefNet,MTF,48.8384,6.6899,8.2269,20.9474,35.0525,3.7934,5.969,8.8122,13
BiRefNet,N5K,100.0,0.0,0.8671,1.3771,0.0,0.0,0.1939,0.3166,10
BiRefNet,VF,36.2132,5.6754,6.7993,33.5615,13.7134,2.8852,2.1632,8.7215,4
CCNet,FKIT,77.1172,3.4591,4.9986,17.6238,29.6076,2.699,2.7848,10.0209,21
CCNet,MTF,89.4758,3.6447,5.7787,10.2447,20.8766,6.0296,6.2136,9.7094,13
CCNet,N5K,100.0,0.0,1.334,2.3662,0.0,0.0,0.5801,0.7269,10
CCNet,VF,56.4165,9.0671,11.3781,28.1275,27.0539,4.3101,3.8128,6.7221,4
CCNet-Re,FKIT,83.7287,3.6413,5.4116,20.0199,17.2063,2.1312,2.3475,7.6993,21
CCNet-Re,MTF,91.6037,1.4546,3.812,6.7711,22.6257,2.9456,3.7925,5.8452,13
CCNet-Re,N5K,100.0,0.0,1.4616,2.4174,0.0,0.0,0.622,0.8795,10
CCNet-Re,VF,68.7705,5.5416,7.5041,17.2155,33.9351,3.0616,1.9975,3.9535,4
DEVA,FKIT,99.8403,0.0553,0.321,3.8116,0.4958,0.0922,0.0903,3.5189,21
DEVA,MTF,92.4631,0.1162,1.0875,4.0113,26.1086,0.2121,1.0059,3.9016,13
DEVA,N5K,74.7838,1.1545,1.5334,14.472,28.4586,1.0628,0.6947,12.7826,10
DEVA,VF,71.9545,1.0537,2.4584,13.9238,38.7956,0.9539,2.0243,10.1788,4
DoraemonGPT,FKIT,62.2449,0.0,0.1801,1.7541,48.1506,0.0,0.1402,4.0845,21
DoraemonGPT,MTF,0.0,0.0,0.0008,0.0052,0.0,0.0,0.0017,0.0119,13
DoraemonGPT,N5K,0.0,0.0,0.062,0.4692,0.0,0.0,0.1647,1.3511,10
DoraemonGPT,VF,42.2468,1.6955,2.9081,13.9224,38.8585,2.258,3.0052,14.3562,4
FLMM,FKIT,47.8752,11.7881,20.7244,40.1309,22.3098,3.6734,5.7337,6.1782,21
FLMM,MTF,33.8902,14.066,25.8688,37.8856,29.6024,5.0628,9.3568,7.3861,13
FLMM,N5K,35.8175,13.0268,18.1893,29.2229,27.2758,7.5169,9.2034,13.7608,10
FLMM,VF,24.1043,13.7013,19.1418,32.8799,21.0355,1.2476,3.9538,8.1268,4
FLMM+S2,FKIT,15.1693,2.2409,5.6828,19.9409,11.8231,1.0663,1.1798,3.0051,21
FLMM+S2,MTF,10.9763,4.2502,7.4889,15.6096,15.4075,3.4202,3.1319,6.1511,13
FLMM+S2,N5K,38.7716,5.2397,5.5888,17.1904,23.2664,2.4925,2.1702,7.1511,10
FLMM+S2,VF,5.1289,4.5308,7.9508,15.8526,6.1479,2.8562,2.2092,5.6863,4
FLMM+S3,FKIT,90.6443,0.1956,0.9795,4.8006,22.7482,0.5457,0.7879,7.7897,21
FLMM+S3,MTF,79.0598,0.8064,2.1173,7.7931,35.8931,1.5243,2.3209,10.308,13
FLMM+S3,N5K,84.4322,0.1613,1.5984,6.1513,30.41,0.4839,1.4063,8.5008,10
FLMM+S3,VF,27.0871,3.3599,4.4688,13.6804,37.0873,2.0398,2.5431,6.9236,4
FLMM+X2,FKIT,80.5856,0.0,0.1743,1.4195,39.1237,0.0,0.107,3.7878,21
FLMM+X2,MTF,53.8462,0.0,0.3566,1.4712,49.8519,0.0,0.5694,2.6997,13
FLMM+X2,N5K,64.5751,0.0,0.8217,2.6768,43.5148,0.0,0.619,2.5099,10
FLMM+X2,VF,15.4693,1.8984,3.2898,10.7588,20.9302,1.91,3.29,10.9339,4
FPN-Re,FKIT,82.2316,5.0394,7.1966,18.2202,16.3223,2.547,2.635,5.2629,21
FPN-Re,MTF,60.7121,11.556,12.7362,18.3745,32.1887,7.1225,4.8599,5.4661,13
FPN-Re,N5K,98.0645,1.629,5.4523,8.1451,5.8065,2.7185,2.8012,3.7185,10
FPN-Re,VF,59.5065,6.8406,9.4061,21.8232,28.1005,3.4109,2.7694,3.7191,4
FSAM,FKIT,85.3338,3.7888,5.6883,17.1659,15.6134,2.6854,2.944,5.5824,21
FSAM,MTF,96.97,2.7204,4.1011,8.2312,4.1056,2.7471,2.7423,5.2272,13
FSAM,N5K,100.0,0.4839,1.9556,3.1968,0.0,1.0328,1.1497,2.0837,10
FSAM,VF,59.1638,10.4841,12.0818,22.7336,27.672,5.2002,3.9423,4.1565,4
FoodMem,FKIT,92.6403,0.0039,0.2217,1.8192,23.7432,0.0176,0.0985,4.1656,21
FoodMem,MTF,100.0,0.0,1.051,2.9886,0.0,0.0,1.1445,3.0379,13
FoodMem,N5K,100.0,0.0,0.9138,1.6322,0.0,0.0,0.2554,0.7684,10
FoodMem,VF,78.234,1.8037,2.9709,8.3691,36.2346,2.1833,2.6577,7.1149,4
S+X2,FKIT,36.5154,0.0958,0.3921,5.4322,46.6067,0.1473,0.5187,7.1724,21
S+X2,MTF,39.5492,0.3426,1.8133,6.4134,43.8749,0.9354,2.3115,6.2935,13
S+X2,N5K,97.4194,0.0,1.4595,4.9862,7.7419,0.0,0.4305,4.1775,10
S+X2,VF,18.9581,1.7066,3.0491,14.2849,18.9582,1.8679,3.1202,14.9468,4
SC+S2,FKIT,1.5153,0.3364,1.3637,5.6981,3.6811,0.6624,1.8785,7.1846,21
SC+S2,MTF,10.8687,5.5638,7.7913,17.8348,14.8582,5.5113,3.9409,5.6898,13
SC+S2,N5K,44.5292,5.7375,6.1961,18.3924,22.5674,2.6349,1.9024,5.5298,10
SC+S2,VF,3.9832,2.1997,3.7881,8.6834,6.6516,3.1057,3.7759,9.0369,4
SC+S3,FKIT,18.5967,0.2587,0.8566,4.5866,35.6842,0.6035,1.0355,4.9519,21
SC+S3,MTF,86.1229,0.9664,2.1762,4.9999,30.9189,2.2855,2.4829,6.8568,13
SC+S3,N5K,89.4737,0.6593,1.9547,5.308,29.8658,1.0834,0.8066,3.3256,10
SC+S3,VF,26.0042,3.118,4.2605,14.0723,36.7746,1.9791,2.9036,8.3056,4
SC+X2,FKIT,31.6909,0.0734,0.2853,4.7818,44.8842,0.1395,0.4318,7.8874,21
SC+X2,MTF,83.9969,0.0,1.0982,4.0247,35.8795,0.0,0.9546,4.5748,13
SC+X2,N5K,87.5439,0.0,1.2498,5.2123,30.0861,0.0,0.3062,3.5835,10
SC+X2,VF,28.375,1.5915,2.5584,7.0376,41.7184,2.2841,3.042,8.1542,4
SETR_MLA,FKIT,91.0388,1.4471,2.8667,7.7592,25.2818,2.803,3.022,5.3072,21
SETR_MLA,MTF,98.5804,0.8401,2.804,5.5002,3.2074,1.1979,2.3604,4.2825,13
SETR_MLA,N5K,100.0,0.0,1.0387,1.5288,0.0,0.0,0.2626,0.3762,10
SETR_MLA,VF,73.9195,3.8631,5.5578,14.5303,36.3488,1.0497,1.1353,3.234,4
SeTM+S2,FKIT,14.091,2.1038,5.3082,18.8797,12.433,1.2067,1.7412,4.9687,21
SeTM+S2,MTF,12.5345,6.4164,8.8797,20.0994,14.2288,5.1725,3.3174,3.8087,13
SeTM+S2,N5K,54.7,7.516,6.8608,20.8447,10.7919,1.4179,0.7356,2.1764,10
SeTM+S2,VF,5.8289,5.066,8.1933,17.5134,6.1168,3.2951,2.0803,5.0165,4
SeTM+S3,FKIT,91.0084,0.0067,0.5708,2.1303,27.7677,0.0298,0.3169,3.232,21
SeTM+S3,MTF,99.4695,0.0,1.4886,3.0904,1.8377,0.0,1.2371,2.9208,13
SeTM+S3,N5K,100.0,0.0,0.9437,1.3065,0.0,0.0,0.2705,0.349,10
SeTM+S3,VF,78.375,1.375,2.6182,6.8049,37.4556,2.3816,2.7794,7.6718,4
SeTN,FKIT,78.0507,4.0668,6.0229,16.3353,29.9093,3.0092,3.097,7.0574,21
SeTN,MTF,95.3341,1.3833,4.443,8.3489,8.2853,2.2701,2.9972,6.8591,13
SeTN,N5K,100.0,0.0,1.2083,1.9189,0.0,0.0,0.3689,0.527,10
SeTN,VF,64.6764,8.1645,9.2378,19.5656,32.3363,3.5678,2.4178,2.5716,4
Seg+S2,FKIT,0.9953,0.4712,1.6509,6.3081,2.4917,0.7006,1.8809,6.3324,21
Seg+S2,MTF,3.5896,3.243,5.0853,10.0483,4.6554,5.5768,4.9724,7.9284,13
Seg+S2,N5K,52.7619,5.8949,6.1319,18.4023,19.1655,1.6525,1.3847,4.4348,10
Seg+S2,VF,1.0937,3.5734,4.8487,8.6532,1.3092,3.977,4.8901,8.5521,4
Seg+S3,FKIT,15.8602,0.426,1.3997,10.5514,25.1199,0.5611,1.2228,11.0035,21
Seg+S3,MTF,38.9321,0.6851,2.4312,5.7169,41.6114,1.231,2.5024,4.62,13
Seg+S3,N5K,96.6129,0.4892,1.8857,6.2299,10.1613,1.0387,1.4251,6.8625,10
Seg+S3,VF,48.8782,1.5463,2.47,3.9732,48.9039,1.6355,2.7909,4.2533,4
SegMan_ADE,FKIT,12.26,4.9509,6.0298,20.2075,12.6705,3.0204,3.5934,10.0183,21
SegMan_ADE,MTF,31.1265,9.5858,11.4201,15.7692,29.7029,8.8276,8.1429,8.9177,13
SegMan_ADE,N5K,60.2152,5.7601,8.9794,15.3499,29.5557,4.4548,3.2729,5.3096,10
SegMan_ADE,VF,16.4052,3.357,4.2954,14.0934,19.6383,3.3638,4.2789,13.9137,4
SegMan_COCO,FKIT,29.5766,5.8109,7.5844,31.0753,20.8399,3.5321,3.6767,9.5771,21
SegMan_COCO,MTF,41.599,14.3306,17.1478,30.7689,30.2473,8.0959,8.5948,8.7035,13
SegMan_COCO,N5K,71.7791,6.8964,9.7502,22.678,26.1023,4.7438,5.3605,12.5042,10
SegMan_COCO,VF,3.5395,4.9085,6.0957,14.6227,3.7114,3.3741,5.0558,9.3409,4
Swin-B,FKIT,88.0193,4.3533,5.4678,17.1414,13.8727,3.0152,3.4723,7.1291,21
Swin-B,MTF,95.0978,3.8297,5.206,10.0259,4.7941,3.1446,3.6364,5.7325,13
Swin-B,N5K,99.6774,0.1613,1.8698,3.2291,0.9677,0.4839,0.7822,2.1629,10
Swin-B,VF,74.0186,4.8682,7.2799,14.0002,38.155,0.8343,0.3168,2.654,4
Swin-S,FKIT,77.883,5.7224,7.0574,20.4495,24.1727,3.3694,3.5518,7.2226,21
Swin-S,MTF,96.1023,3.1732,4.7794,8.3699,6.4697,3.4913,4.3074,5.5975,13
Swin-S,N5K,100.0,0.0,1.3566,2.1602,0.0,0.0,0.4479,0.6978,10
Swin-S,VF,66.7075,6.2964,8.1029,19.3968,33.6191,0.9622,0.9021,0.9813,4
Y+S2,FKIT,14.0237,2.083,5.3642,18.9989,12.4111,1.1507,1.5747,4.0514,21
Y+S2,MTF,7.2548,4.0518,6.6042,15.7336,13.9402,3.7514,4.1056,7.6591,13
Y+S2,N5K,48.452,6.5343,6.5544,19.4131,18.3006,2.717,1.7133,5.1106,10
Y+S2,VF,5.9891,4.941,8.1668,17.5072,6.1047,3.2087,2.047,4.9373,4
Y+S3,FKIT,92.4836,0.0815,1.0677,3.7617,22.7839,0.3449,0.6236,4.3155,21
Y+S3,MTF,90.9548,0.3479,1.4359,6.2182,26.3741,0.5356,0.6298,6.5883,13
Y+S3,N5K,90.0,0.0,1.2038,2.7247,30.0,0.0,0.4478,1.8459,10
Y+S3,VF,78.125,1.5353,2.8312,7.5562,37.8886,2.304,2.6195,7.1828,4
