method,partition,continuity,flicker,drift,sigma,continuity_std,flicker_std,drift_std,sigma_std,n_scenes
BiRefNet,FKIT,99.6211,0.1588,0.3789,4.2533,0.239,0.3598,0.239,3.2604,21
BiRefNet,MTF,91.7731,13.7558,8.2269,36.7006,5.969,8.2104,5.969,8.8122,13
BiRefNet,N5K,99.1329,0.0,0.8671,1.9495,0.1939,0.0,0.1939,0.3166,10
BiRefNet,VF,93.2007,10.4414,6.7993,36.335,2.1632,4.662,2.1632,8.7215,4
CCNet,FKIT,95.0014,6.7886,4.9986,31.7097,2.7848,5.2274,2.7848,10.0209,21
CCNet,MTF,94.2213,7.9363,5.7787,24.7854,6.2136,11.8856,6.2136,9.7094,13
CCNet,N5K,98.666,0.0,1.334,4.1737,0.5801,0.0,0.5801,0.7269,10
CCNet,VF,88.6219,17.6313,11.3781,33.4586,3.8128,8.2442,3.8128,6.7221,4
CCNet-Re,FKIT,94.5884,7.2784,5.4116,26.0646,2.3475,4.2079,2.3475,7.6993,21
CCNet-Re,MTF,96.188,3.8593,3.812,21.6733,3.7925,7.4854,3.7925,5.8452,13
CCNet-Re,N5K,98.5384,0.0,1.4616,4.2105,0.622,0.0,0.622,0.8795,10
CCNet-Re,VF,92.4959,11.0568,7.5041,28.6977,1.9975,5.6052,1.9975,3.9535,4
DEVA,MTF,98.9125,0.1548,1.0875,20.7772,1.0059,0.3046,1.0059,3.9016,13
DEVA,N5K,98.4666,1.3212,1.5334,25.5589,0.6947,1.4511,0.6947,12.7826,10
DEVA,VF,97.5416,1.839,2.4584,34.3258,2.0243,1.9595,2.0243,10.1788,4
DoraemonGPT,N5K,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
FLMM,FKIT,79.2756,23.5631,20.7244,45.7978,5.7337,7.407,5.7337,6.1782,21
FLMM,MTF,74.1312,29.5741,25.8688,46.9885,9.3568,12.1352,9.3568,7.3861,13
FLMM,N5K,81.8107,25.2912,18.1893,39.8554,9.2034,13.6151,9.2034,13.7608,10
FLMM,VF,80.8582,27.1343,19.1418,38.8374,3.9538,4.2603,3.9538,8.1268,4
FLMM+S2,FKIT,94.3172,4.4534,5.6828,21.7542,1.1798,2.0881,1.1798,3.0051,21
