method,partition,metric,old,new,delta,abs_delta
kMean++,N5K,continuity,97.0,4.6032,-92.3968,92.3968
FLMM,V&F,continuity,97.1,24.1043,-72.9957,72.9957
kMean++,V&F,continuity,93.9,28.412,-65.488,65.488
kMean++,FKIT,continuity,97.8,32.759,-65.041,65.041
FLMM,MTF,continuity,98.1,33.8902,-64.2098,64.2098
FLMM,N5K,continuity,97.5,35.8175,-61.6825,61.6825
BiRefNet,V&F,continuity,92.5,36.2132,-56.2868,56.2868
FLMM,FKIT,continuity,100.0,47.8752,-52.1248,52.1248
YOLO,V&F,continuity,80.2,32.4398,-47.7602,47.7602
FLMM,FKIT,sigma,0.0,45.7978,45.7978,45.7978
BiRefNet,MTF,continuity,94.0,48.8384,-45.1616,45.1616
FLMM,MTF,sigma,9.3,46.9885,37.6885,37.6885
kMean++,MTF,continuity,95.7,59.2068,-36.4932,36.4932
CCNet,V&F,continuity,90.8,56.4165,-34.3835,34.3835
YOLO,FKIT,continuity,86.0,52.1105,-33.8895,33.8895
FPN-Re,V&F,continuity,91.3,59.5065,-31.7935,31.7935
FLMM,N5K,sigma,11.1,39.8554,28.7554,28.7554
FPN-Re,MTF,continuity,88.5,60.7121,-27.7879,27.7879
FLMM,MTF,flicker,2.1,29.5741,27.4741,27.4741
FLMM,V&F,sigma,11.6,38.8374,27.2374,27.2374
SeTN,V&F,continuity,90.9,64.6764,-26.2236,26.2236
Swin-S,V&F,continuity,91.7,66.7075,-24.9925,24.9925
FLMM,MTF,drift,1.9,25.8688,23.9688,23.9688
CCNet-Re,V&F,continuity,92.7,68.7705,-23.9295,23.9295
FLMM,V&F,flicker,3.5,27.1343,23.6343,23.6343
FLMM,FKIT,flicker,0.0,23.5631,23.5631,23.5631
FLMM,N5K,flicker,3.9,25.2912,21.3912,21.3912
FLMM,FKIT,drift,0.0,20.7244,20.7244,20.7244
Swin-B,V&F,continuity,92.5,74.0186,-18.4814,18.4814
CCNet,FKIT,continuity,94.8,77.1172,-17.6828,17.6828
YOLO,N5K,continuity,88.9,71.5503,-17.3497,17.3497
FLMM,V&F,drift,2.9,19.1418,16.2418,16.2418
FLMM,N5K,drift,2.5,18.1893,15.6893,15.6893
SeTN,FKIT,continuity,93.7,78.0507,-15.6493,15.6493
Swin-S,FKIT,continuity,92.5,77.883,-14.617,14.617
YOLO,MTF,continuity,80.0,65.8062,-14.1938,14.1938
CCNet-Re,FKIT,continuity,94.3,83.7287,-10.5713,10.5713
FPN-Re,FKIT,continuity,92.5,82.2316,-10.2684,10.2684
Swin-B,V&F,sigma,22.5,29.169,6.669,6.669
Swin-B,FKIT,continuity,94.4,88.0193,-6.3807,6.3807
SeTN,V&F,sigma,24.3,30.6567,6.3567,6.3567
CCNet,MTF,continuity,94.9,89.4758,-5.4242,5.4242
CCNet-Re,MTF,continuity,96.9,91.6037,-5.2963,5.2963
CCNet,V&F,sigma,29.3,33.4586,4.1586,4.1586
FPN-Re,MTF,flicker,19.4,23.4923,4.0923,4.0923
Swin-S,V&F,sigma,25.9,29.9261,4.0261,4.0261
FPN-Re,N5K,continuity,94.5,98.0645,3.5645,3.5645
CCNet-Re,V&F,sigma,25.2,28.6977,3.4977,3.4977
CCNet,V&F,flicker,14.3,17.6313,3.3313,3.3313
YOLO,MTF,flicker,23.5,20.3403,-3.1597,3.1597
BiRefNet,MTF,flicker,10.8,13.7558,2.9558,2.9558
BiRefNet,MTF,drift,6.0,8.2269,2.2269,2.2269
CCNet,V&F,drift,9.2,11.3781,2.1781,2.1781
YOLO,MTF,drift,20.0,17.9398,-2.0602,2.0602
BiRefNet,V&F,flicker,12.5,10.4414,-2.0586,2.0586
Swin-B,V&F,flicker,11.2,9.3234,-1.8766,1.8766
