method,partition,metric,old,new,delta,abs_delta
kMean++,N5K,continuity,97.1753,4.6032,-92.5721,92.5721
Y+S2,MTF,continuity,93.3958,7.2548,-86.141,86.141
Y+S2,V&F,continuity,91.8332,5.9891,-85.8441,85.8441
Y+S2,FKIT,continuity,94.6358,14.0237,-80.6121,80.6121
kMean++,V&F,continuity,94.3248,28.412,-65.9128,65.9128
kMean++,FKIT,continuity,98.4129,32.759,-65.6539,65.6539
BiRefNet,V&F,continuity,93.2007,36.2132,-56.9875,56.9875
FLMM,V&F,continuity,80.8582,24.1043,-56.7539,56.7539
YOLO,V&F,continuity,81.0759,32.4398,-48.6361,48.6361
FLMM,N5K,continuity,81.8107,35.8175,-45.9932,45.9932
Y+S2,N5K,continuity,93.4456,48.452,-44.9936,44.9936
BiRefNet,MTF,continuity,91.7731,48.8384,-42.9347,42.9347
FLMM,MTF,continuity,74.1312,33.8902,-40.241,40.241
kMean++,MTF,continuity,96.2787,59.2068,-37.0719,37.0719
YOLO,FKIT,continuity,86.4238,52.1105,-34.3133,34.3133
CCNet,V&F,continuity,88.6219,56.4165,-32.2054,32.2054
FLMM,FKIT,continuity,79.2756,47.8752,-31.4004,31.4004
FPN-Re,V&F,continuity,90.5939,59.5065,-31.0874,31.0874
FPN-Re,MTF,continuity,87.2638,60.7121,-26.5517,26.5517
SeTN,V&F,continuity,90.7622,64.6764,-26.0858,26.0858
DEVA,V&F,continuity,97.5416,71.9545,-25.5871,25.5871
Swin-S,V&F,continuity,91.8971,66.7075,-25.1896,25.1896
CCNet-Re,V&F,continuity,92.4959,68.7705,-23.7254,23.7254
DEVA,N5K,continuity,98.4666,74.7838,-23.6828,23.6828
Y+X2,MTF,continuity,99.2673,76.6138,-22.6535,22.6535
SETR_MLA,V&F,continuity,94.4422,73.9195,-20.5227,20.5227
FSAM,V&F,continuity,94.4422,73.9195,-20.5227,20.5227
Y+X2,V&F,continuity,97.0378,77.984,-19.0538,19.0538
FoodMem,V&F,continuity,97.0291,78.234,-18.7951,18.7951
Swin-B,V&F,continuity,92.7201,74.0186,-18.7015,18.7015
CCNet,FKIT,continuity,95.0014,77.1172,-17.8842,17.8842
YOLO,N5K,continuity,89.38,71.5503,-17.8297,17.8297
YOLO,MTF,continuity,82.0602,65.8062,-16.254,16.254
SeTN,FKIT,continuity,93.9771,78.0507,-15.9264,15.9264
Swin-S,FKIT,continuity,92.9426,77.883,-15.0596,15.0596
CCNet-Re,FKIT,continuity,94.5884,83.7287,-10.8597,10.8597
FPN-Re,FKIT,continuity,92.8034,82.2316,-10.5718,10.5718
Y+X2,FKIT,continuity,99.7328,89.9824,-9.7504,9.7504
Y+X2,N5K,continuity,98.9586,89.6491,-9.3095,9.3095
FoodMem,FKIT,continuity,99.7783,92.6403,-7.138,7.138
Swin-B,FKIT,continuity,94.5322,88.0193,-6.5129,6.5129
DEVA,MTF,continuity,98.9125,92.4631,-6.4494,6.4494
FSAM,FKIT,continuity,97.1333,91.0388,-6.0945,6.0945
SETR_MLA,FKIT,continuity,97.1333,91.0388,-6.0945,6.0945
CCNet,MTF,continuity,94.2213,89.4758,-4.7455,4.7455
CCNet-Re,MTF,continuity,96.188,91.6037,-4.5843,4.5843
FPN-Re,N5K,continuity,94.5477,98.0645,3.5168,3.5168
Swin-B,N5K,continuity,98.1302,99.6774,1.5472,1.5472
CCNet-Re,N5K,continuity,98.5384,100.0,1.4616,1.4616
FSAM,MTF,continuity,97.196,98.5804,1.3844,1.3844
SETR_MLA,MTF,continuity,97.196,98.5804,1.3844,1.3844
Swin-S,N5K,continuity,98.6434,100.0,1.3566,1.3566
CCNet,N5K,continuity,98.666,100.0,1.334,1.334
SeTN,N5K,continuity,98.7917,100.0,1.2083,1.2083
FoodMem,MTF,continuity,98.949,100.0,1.051,1.051
FSAM,N5K,continuity,98.9613,100.0,1.0387,1.0387
SETR_MLA,N5K,continuity,98.9613,100.0,1.0387,1.0387
FoodMem,N5K,continuity,99.0862,100.0,0.9138,0.9138
Swin-S,MTF,continuity,95.2206,96.1023,0.8817,0.8817
BiRefNet,N5K,continuity,99.1329,100.0,0.8671,0.8671
Swin-B,MTF,continuity,94.794,95.0978,0.3038,0.3038
SeTN,MTF,continuity,95.557,95.3341,-0.2229,0.2229
BiRefNet,FKIT,continuity,99.6211,99.6989,0.0778,0.0778
FSAM,N5K,flicker,0.0,0.0,0.0,0.0
Swin-B,V&F,drift,7.2799,7.2799,0.0,0.0
FSAM,V&F,drift,5.5578,5.5578,0.0,0.0
CCNet,N5K,sigma,4.1737,4.1737,0.0,0.0
YOLO,MTF,drift,17.9398,17.9398,0.0,0.0
YOLO,V&F,flicker,28.6916,28.6916,0.0,0.0
Swin-S,V&F,drift,8.1029,8.1029,0.0,0.0
FSAM,N5K,sigma,2.2122,2.2122,0.0,0.0
FLMM,N5K,flicker,25.2912,25.2912,0.0,0.0
SeTN,FKIT,drift,6.0229,6.0229,0.0,0.0
YOLO,V&F,sigma,37.2373,37.2373,0.0,0.0
FLMM,N5K,sigma,39.8554,39.8554,0.0,0.0
Y+X2,V&F,flicker,3.1243,3.1243,0.0,0.0
BiRefNet,V&F,drift,6.7993,6.7993,0.0,0.0
YOLO,FKIT,flicker,17.092,17.092,0.0,0.0
kMean++,MTF,flicker,1.9343,1.9343,0.0,0.0
Y+X2,V&F,sigma,28.8973,28.8973,0.0,0.0
FPN-Re,FKIT,drift,7.1966,7.1966,0.0,0.0
Y+S2,MTF,flicker,7.3405,7.3405,0.0,0.0
YOLO,FKIT,sigma,43.429,43.429,0.0,0.0
kMean++,MTF,sigma,24.3211,24.3211,0.0,0.0
CCNet-Re,MTF,flicker,3.8593,3.8593,0.0,0.0
Y+S2,MTF,sigma,22.6967,22.6967,0.0,0.0
Y+X2,MTF,drift,0.7327,0.7327,0.0,0.0
SeTN,V&F,flicker,15.5324,15.5324,0.0,0.0
Y+X2,FKIT,flicker,0.0416,0.0416,0.0,0.0
Swin-S,FKIT,drift,7.0574,7.0574,0.0,0.0
FSAM,FKIT,drift,2.8667,2.8667,0.0,0.0
CCNet-Re,MTF,sigma,21.6733,21.6733,0.0,0.0
DEVA,MTF,drift,1.0875,1.0875,0.0,0.0
SETR_MLA,FKIT,drift,2.8667,2.8667,0.0,0.0
SeTN,V&F,sigma,30.6567,30.6567,0.0,0.0
Y+X2,FKIT,sigma,30.9607,30.9607,0.0,0.0
DEVA,V&F,flicker,1.839,1.839,0.0,0.0
FoodMem,FKIT,drift,0.2217,0.2217,0.0,0.0
YOLO,N5K,drift,10.62,10.62,0.0,0.0
DEVA,V&F,sigma,34.3258,34.3258,0.0,0.0
SeTN,MTF,drift,4.443,4.443,0.0,0.0
Y+S2,N5K,flicker,11.5934,11.5934,0.0,0.0
CCNet,MTF,flicker,7.9363,7.9363,0.0,0.0
BiRefNet,FKIT,drift,0.3789,0.3789,0.0,0.0
kMean++,N5K,sigma,16.276,16.276,0.0,0.0
Y+S2,N5K,sigma,23.5545,23.5545,0.0,0.0
Y+X2,N5K,drift,1.0414,1.0414,0.0,0.0
CCNet,MTF,sigma,24.7854,24.7854,0.0,0.0
FSAM,V&F,flicker,7.5987,7.5987,0.0,0.0
YOLO,MTF,flicker,20.3403,20.3403,0.0,0.0
CCNet-Re,N5K,sigma,4.2105,4.2105,0.0,0.0
Swin-S,V&F,flicker,11.9664,11.9664,0.0,0.0
FSAM,V&F,sigma,29.7433,29.7433,0.0,0.0
YOLO,MTF,sigma,40.6069,40.6069,0.0,0.0
FLMM,MTF,flicker,29.5741,29.5741,0.0,0.0
kMean++,V&F,drift,5.6752,5.6752,0.0,0.0
SeTN,FKIT,flicker,8.0322,8.0322,0.0,0.0
Swin-S,V&F,sigma,29.9261,29.9261,0.0,0.0
Y+S2,V&F,drift,8.1668,8.1668,0.0,0.0
FoodMem,V&F,sigma,29.5606,29.5606,0.0,0.0
FLMM,MTF,sigma,46.9885,46.9885,0.0,0.0
SeTN,FKIT,sigma,30.0694,30.0694,0.0,0.0
BiRefNet,V&F,flicker,10.4414,10.4414,0.0,0.0
CCNet-Re,V&F,drift,7.5041,7.5041,0.0,0.0
FPN-Re,V&F,drift,9.4061,9.4061,0.0,0.0
SETR_MLA,MTF,drift,2.804,2.804,0.0,0.0
DEVA,N5K,drift,1.5334,1.5334,0.0,0.0
FoodMem,MTF,drift,1.051,1.051,0.0,0.0
BiRefNet,V&F,sigma,36.335,36.335,0.0,0.0
Y+X2,MTF,flicker,0.0773,0.0773,0.0,0.0
Swin-S,MTF,drift,4.7794,4.7794,0.0,0.0
SeTN,N5K,drift,1.2083,1.2083,0.0,0.0
CCNet-Re,FKIT,drift,5.4116,5.4116,0.0,0.0
Swin-S,FKIT,flicker,11.4367,11.4367,0.0,0.0
FSAM,FKIT,flicker,2.9962,2.9962,0.0,0.0
CCNet,V&F,drift,11.3781,11.3781,0.0,0.0
SETR_MLA,FKIT,flicker,2.9962,2.9962,0.0,0.0
Y+X2,MTF,sigma,36.6927,36.6927,0.0,0.0
Swin-B,FKIT,drift,5.4678,5.4678,0.0,0.0
Swin-S,FKIT,sigma,29.0647,29.0647,0.0,0.0
FSAM,FKIT,sigma,20.015,20.015,0.0,0.0
FoodMem,FKIT,flicker,0.0039,0.0039,0.0,0.0
kMean++,FKIT,drift,1.5871,1.5871,0.0,0.0
SETR_MLA,N5K,drift,1.0387,1.0387,0.0,0.0
YOLO,N5K,flicker,14.4308,14.4308,0.0,0.0
SETR_MLA,FKIT,sigma,20.015,20.015,0.0,0.0
Swin-S,N5K,drift,1.3566,1.3566,0.0,0.0
FoodMem,N5K,drift,0.9138,0.9138,0.0,0.0
FoodMem,FKIT,sigma,21.0727,21.0727,0.0,0.0
YOLO,N5K,sigma,30.5656,30.5656,0.0,0.0
FLMM,V&F,drift,19.1418,19.1418,0.0,0.0
Y+X2,N5K,flicker,0.0,0.0,0.0,0.0
FSAM,N5K,drift,1.0387,1.0387,0.0,0.0
Y+X2,N5K,sigma,21.9272,21.9272,0.0,0.0
YOLO,V&F,drift,18.9241,18.9241,0.0,0.0
kMean++,V&F,flicker,5.3511,5.3511,0.0,0.0
CCNet,FKIT,drift,4.9986,4.9986,0.0,0.0
kMean++,V&F,sigma,30.2506,30.2506,0.0,0.0
CCNet-Re,V&F,flicker,11.0568,11.0568,0.0,0.0
FPN-Re,V&F,flicker,13.7448,13.7448,0.0,0.0
SETR_MLA,MTF,flicker,1.7189,1.7189,0.0,0.0
Y+X2,V&F,drift,2.9622,2.9622,0.0,0.0
DEVA,N5K,flicker,1.3212,1.3212,0.0,0.0
FoodMem,MTF,flicker,0.5305,0.5305,0.0,0.0
Swin-B,V&F,flicker,9.3234,9.3234,0.0,0.0
YOLO,FKIT,drift,13.5762,13.5762,0.0,0.0
CCNet-Re,V&F,sigma,28.6977,28.6977,0.0,0.0
FPN-Re,V&F,sigma,28.7703,28.7703,0.0,0.0
SETR_MLA,MTF,sigma,9.1236,9.1236,0.0,0.0
FoodMem,MTF,sigma,5.0789,5.0789,0.0,0.0
Swin-B,V&F,sigma,29.169,29.169,0.0,0.0
FLMM,FKIT,drift,20.7244,20.7244,0.0,0.0
SeTN,N5K,flicker,0.0,0.0,0.0,0.0
CCNet-Re,FKIT,flicker,7.2784,7.2784,0.0,0.0
CCNet,V&F,flicker,17.6313,17.6313,0.0,0.0
Swin-B,MTF,drift,5.206,5.206,0.0,0.0
Swin-B,FKIT,flicker,8.6301,8.6301,0.0,0.0
FSAM,MTF,drift,2.804,2.804,0.0,0.0
CCNet-Re,FKIT,sigma,26.0646,26.0646,0.0,0.0
SETR_MLA,N5K,flicker,0.0,0.0,0.0,0.0
CCNet,V&F,sigma,33.4586,33.4586,0.0,0.0
Swin-B,FKIT,sigma,21.3688,21.3688,0.0,0.0
FoodMem,N5K,flicker,0.0,0.0,0.0,0.0
FPN-Re,MTF,drift,12.7362,12.7362,0.0,0.0
FPN-Re,FKIT,flicker,9.8899,9.8899,0.0,0.0
kMean++,N5K,drift,2.8247,2.8247,0.0,0.0
SETR_MLA,N5K,sigma,2.2122,2.2122,0.0,0.0
Y+S2,FKIT,drift,5.3642,5.3642,0.0,0.0
FLMM,V&F,flicker,27.1343,27.1343,0.0,0.0
CCNet,MTF,drift,5.7787,5.7787,0.0,0.0
FoodMem,N5K,sigma,2.3116,2.3116,0.0,0.0
FPN-Re,FKIT,sigma,23.0556,23.0556,0.0,0.0
BiRefNet,MTF,drift,8.2269,8.2269,0.0,0.0
CCNet-Re,N5K,drift,1.4616,1.4616,0.0,0.0
FPN-Re,N5K,drift,5.4523,5.4523,0.0,0.0
FLMM,V&F,sigma,38.8374,38.8374,0.0,0.0
DEVA,MTF,flicker,0.1548,0.1548,0.0,0.0
Swin-B,N5K,drift,1.8698,1.8698,0.0,0.0
SETR_MLA,V&F,drift,5.5578,5.5578,0.0,0.0
BiRefNet,N5K,drift,0.8671,0.8671,0.0,0.0
FoodMem,V&F,drift,2.9709,2.9709,0.0,0.0
DEVA,MTF,sigma,20.7772,20.7772,0.0,0.0
FLMM,MTF,drift,25.8688,25.8688,0.0,0.0
SeTN,MTF,flicker,2.8052,2.8052,0.0,0.0
CCNet,FKIT,flicker,6.7886,6.7886,0.0,0.0
BiRefNet,FKIT,flicker,0.1588,0.1588,0.0,0.0
CCNet,N5K,drift,1.334,1.334,0.0,0.0
SeTN,MTF,sigma,15.9252,15.9252,0.0,0.0
CCNet,FKIT,sigma,31.7097,31.7097,0.0,0.0
BiRefNet,FKIT,sigma,4.2533,4.2533,0.0,0.0
FLMM,FKIT,flicker,23.5631,23.5631,0.0,0.0
Y+S2,V&F,flicker,10.2758,10.2758,0.0,0.0
FLMM,N5K,drift,18.1893,18.1893,0.0,0.0
FLMM,FKIT,sigma,45.7978,45.7978,0.0,0.0
Swin-B,MTF,flicker,7.8087,7.8087,0.0,0.0
FSAM,MTF,flicker,1.7189,1.7189,0.0,0.0
Y+S2,V&F,sigma,19.5911,19.5911,0.0,0.0
Swin-B,MTF,sigma,13.5486,13.5486,0.0,0.0
FSAM,MTF,sigma,9.1236,9.1236,0.0,0.0
FPN-Re,MTF,flicker,23.4923,23.4923,0.0,0.0
kMean++,MTF,drift,3.7213,3.7213,0.0,0.0
kMean++,N5K,flicker,2.6112,2.6112,0.0,0.0
Y+S2,MTF,drift,6.6042,6.6042,0.0,0.0
Y+S2,FKIT,flicker,4.0775,4.0775,0.0,0.0
DEVA,N5K,sigma,25.5589,25.5589,0.0,0.0
FPN-Re,MTF,sigma,29.7657,29.7657,0.0,0.0
BiRefNet,MTF,flicker,13.7558,13.7558,0.0,0.0
CCNet-Re,MTF,drift,3.812,3.812,0.0,0.0
Swin-S,MTF,flicker,6.4623,6.4623,0.0,0.0
CCNet-Re,N5K,flicker,0.0,0.0,0.0,0.0
FPN-Re,N5K,flicker,3.592,3.592,0.0,0.0
Y+S2,FKIT,sigma,21.8646,21.8646,0.0,0.0
SeTN,V&F,drift,9.2378,9.2378,0.0,0.0
Y+X2,FKIT,drift,0.2672,0.2672,0.0,0.0
BiRefNet,MTF,sigma,36.7006,36.7006,0.0,0.0
Swin-B,N5K,flicker,0.4892,0.4892,0.0,0.0
SETR_MLA,V&F,flicker,7.5987,7.5987,0.0,0.0
SeTN,N5K,sigma,3.2451,3.2451,0.0,0.0
Swin-S,MTF,sigma,11.6702,11.6702,0.0,0.0
