method,partition,metric,old_value,old_std
FLMM,FKIT,continuity,100.0,0.0
FLMM,MTF,continuity,98.1,13.1
FLMM,N5K,continuity,97.5,13.6
FLMM,V&F,continuity,97.1,15.5
FLMM,FKIT,flicker,0.0,0.0
FLMM,MTF,flicker,2.1,0.0
FLMM,N5K,flicker,3.9,0.0
FLMM,V&F,flicker,3.5,0.0
FLMM,FKIT,drift,0.0,0.0
FLMM,MTF,drift,1.9,13.1
FLMM,N5K,drift,2.5,13.6
FLMM,V&F,drift,2.9,15.5
FLMM,FKIT,sigma,0.0,0.0
FLMM,MTF,sigma,9.3,9.3
FLMM,N5K,sigma,11.1,11.1
FLMM,V&F,sigma,11.6,11.6
FLMM,GLOBAL,continuity,98.2,1.3
FLMM,GLOBAL,flicker,2.3,1.7
FLMM,GLOBAL,drift,1.8,1.3
FLMM,GLOBAL,sigma,8.0,5.4
Y+X2,FKIT,continuity,99.8,1.8
Y+X2,MTF,continuity,99.2,5.6
Y+X2,N5K,continuity,98.7,4.8
Y+X2,V&F,continuity,98.4,5.1
Y+X2,FKIT,flicker,0.1,0.0
Y+X2,MTF,flicker,0.5,0.0
Y+X2,N5K,flicker,0.5,0.0
Y+X2,V&F,flicker,1.2,0.0
Y+X2,FKIT,drift,0.2,1.8
Y+X2,MTF,drift,0.8,5.6
Y+X2,N5K,drift,1.3,4.8
Y+X2,V&F,drift,1.6,5.1
Y+X2,FKIT,sigma,41.2,41.2
Y+X2,MTF,sigma,37.9,37.9
Y+X2,N5K,sigma,32.5,32.5
Y+X2,V&F,sigma,19.1,19.1
Y+X2,GLOBAL,continuity,99.0,0.6
Y+X2,GLOBAL,flicker,0.6,0.5
Y+X2,GLOBAL,drift,1.0,0.6
Y+X2,GLOBAL,sigma,32.7,9.7
FoodMem,FKIT,continuity,99.7,2.4
FoodMem,MTF,continuity,99.5,1.5
FoodMem,N5K,continuity,99.0,1.0
FoodMem,V&F,continuity,98.5,5.1
FoodMem,FKIT,flicker,0.2,0.0
FoodMem,MTF,flicker,0.1,0.0
FoodMem,N5K,flicker,0.0,0.0
FoodMem,V&F,flicker,1.2,0.0
FoodMem,FKIT,drift,0.3,2.4
FoodMem,MTF,drift,0.5,1.5
FoodMem,N5K,drift,1.0,1.0
FoodMem,V&F,drift,1.5,5.1
FoodMem,FKIT,sigma,29.0,29.0
FoodMem,MTF,sigma,5.4,5.4
FoodMem,N5K,sigma,2.4,2.4
FoodMem,V&F,sigma,19.4,19.4
FoodMem,GLOBAL,continuity,99.2,0.5
FoodMem,GLOBAL,flicker,0.4,0.5
FoodMem,GLOBAL,drift,0.8,0.5
FoodMem,GLOBAL,sigma,14.0,12.4
S+X2,FKIT,continuity,99.7,1.7
S+X2,MTF,continuity,99.5,1.2
S+X2,N5K,continuity,99.0,1.1
S+X2,V&F,continuity,98.6,5.2
S+X2,FKIT,flicker,0.0,0.0
S+X2,MTF,flicker,0.1,0.0
S+X2,N5K,flicker,0.0,0.0
S+X2,V&F,flicker,1.2,0.0
S+X2,FKIT,drift,0.3,1.7
S+X2,MTF,drift,0.5,1.2
S+X2,N5K,drift,1.0,1.1
S+X2,V&F,drift,1.4,5.2
S+X2,FKIT,sigma,34.4,34.4
S+X2,MTF,sigma,7.9,7.9
S+X2,N5K,sigma,2.3,2.3
S+X2,V&F,sigma,19.4,19.4
S+X2,GLOBAL,continuity,99.2,0.5
S+X2,GLOBAL,flicker,0.3,0.6
S+X2,GLOBAL,drift,0.8,0.5
S+X2,GLOBAL,sigma,16.0,14.2
Y+S2,FKIT,continuity,99.7,2.4
Y+S2,MTF,continuity,99.0,6.1
Y+S2,N5K,continuity,98.5,5.3
Y+S2,V&F,continuity,98.5,4.2
Y+S2,FKIT,flicker,0.1,0.0
Y+S2,MTF,flicker,0.9,0.0
Y+S2,N5K,flicker,1.1,0.0
Y+S2,V&F,flicker,1.1,0.0
Y+S2,FKIT,drift,0.3,2.4
Y+S2,MTF,drift,1.0,6.1
Y+S2,N5K,drift,1.5,5.3
Y+S2,V&F,drift,1.5,4.2
Y+S2,FKIT,sigma,44.9,44.9
Y+S2,MTF,sigma,40.3,40.3
Y+S2,N5K,sigma,33.8,33.8
Y+S2,V&F,sigma,19.1,19.1
Y+S2,GLOBAL,continuity,98.9,0.5
Y+S2,GLOBAL,flicker,0.8,0.5
Y+S2,GLOBAL,drift,1.1,0.5
Y+S2,GLOBAL,sigma,34.5,11.3
DEVA,FKIT,continuity,99.6,1.8
DEVA,MTF,continuity,98.8,6.9
DEVA,N5K,continuity,96.8,9.8
DEVA,V&F,continuity,97.3,8.9
DEVA,FKIT,flicker,0.1,0.0
DEVA,MTF,flicker,0.8,0.0
DEVA,N5K,flicker,3.5,0.0
DEVA,V&F,flicker,2.5,0.0
DEVA,FKIT,drift,0.4,1.8
DEVA,MTF,drift,1.2,6.9
DEVA,N5K,drift,3.2,9.8
DEVA,V&F,drift,2.7,8.9
DEVA,FKIT,sigma,4.8,4.8
DEVA,MTF,sigma,22.5,22.5
DEVA,N5K,sigma,26.6,26.6
DEVA,V&F,sigma,31.4,31.4
DEVA,GLOBAL,continuity,98.1,1.3
DEVA,GLOBAL,flicker,1.7,1.6
DEVA,GLOBAL,drift,1.9,1.3
DEVA,GLOBAL,sigma,21.3,11.6
BiRefNet,FKIT,continuity,99.5,2.9
BiRefNet,MTF,continuity,94.0,14.6
BiRefNet,N5K,continuity,99.1,1.0
BiRefNet,V&F,continuity,92.5,15.1
BiRefNet,FKIT,flicker,0.2,0.0
BiRefNet,MTF,flicker,10.8,0.0
BiRefNet,N5K,flicker,0.0,0.0
BiRefNet,V&F,flicker,12.5,0.0
BiRefNet,FKIT,drift,0.5,2.9
BiRefNet,MTF,drift,6.0,14.6
BiRefNet,N5K,drift,0.9,1.0
BiRefNet,V&F,drift,7.5,15.1
BiRefNet,FKIT,sigma,5.0,5.0
BiRefNet,MTF,sigma,36.7,36.7
BiRefNet,N5K,sigma,1.9,1.9
BiRefNet,V&F,sigma,38.1,38.1
BiRefNet,GLOBAL,continuity,96.3,3.6
BiRefNet,GLOBAL,flicker,5.9,6.7
BiRefNet,GLOBAL,drift,3.7,3.6
BiRefNet,GLOBAL,sigma,20.4,19.6
Seg+S2,FKIT,continuity,99.4,2.6
Seg+S2,MTF,continuity,99.3,2.6
Seg+S2,N5K,continuity,98.8,2.9
Seg+S2,V&F,continuity,98.7,4.3
Seg+S2,FKIT,flicker,0.5,0.0
Seg+S2,MTF,flicker,0.4,0.0
Seg+S2,N5K,flicker,0.8,0.0
Seg+S2,V&F,flicker,1.1,0.0
Seg+S2,FKIT,drift,0.6,2.6
Seg+S2,MTF,drift,0.7,2.6
Seg+S2,N5K,drift,1.2,2.9
Seg+S2,V&F,drift,1.3,4.3
Seg+S2,FKIT,sigma,28.9,28.9
Seg+S2,MTF,sigma,9.9,9.9
Seg+S2,N5K,sigma,5.5,5.5
Seg+S2,V&F,sigma,19.4,19.4
Seg+S2,GLOBAL,continuity,99.1,0.4
Seg+S2,GLOBAL,flicker,0.7,0.3
Seg+S2,GLOBAL,drift,0.9,0.4
Seg+S2,GLOBAL,sigma,15.9,10.4
kMean++,FKIT,continuity,97.8,6.6
kMean++,MTF,continuity,95.7,5.5
kMean++,N5K,continuity,97.0,5.4
kMean++,V&F,continuity,93.9,9.4
kMean++,FKIT,flicker,1.8,0.0
kMean++,MTF,flicker,1.7,0.0
kMean++,N5K,flicker,2.4,0.0
kMean++,V&F,flicker,6.0,0.0
kMean++,FKIT,drift,2.2,6.6
kMean++,MTF,drift,4.3,5.5
kMean++,N5K,drift,3.0,5.4
kMean++,V&F,drift,6.1,9.4
kMean++,FKIT,sigma,32.2,32.2
kMean++,MTF,sigma,24.2,24.2
kMean++,N5K,sigma,16.2,16.2
kMean++,V&F,sigma,30.8,30.8
kMean++,GLOBAL,continuity,96.1,1.7
kMean++,GLOBAL,flicker,3.0,2.1
kMean++,GLOBAL,drift,3.9,1.7
kMean++,GLOBAL,sigma,25.9,7.3
SegMan,FKIT,continuity,94.9,10.3
SegMan,MTF,continuity,97.1,6.7
SegMan,N5K,continuity,98.8,1.7
SegMan,V&F,continuity,96.0,9.2
