partition,scene,frame,vc
N5K,8,0,
N5K,8,1,0.024545
N5K,8,2,0.014697
N5K,8,3,0.015060
N5K,8,4,0.089870
N5K,8,5,0.141576
N5K,8,6,0.163912
N5K,8,7,0.144212
N5K,8,8,0.129249
N5K,8,9,0.072705
N5K,8,10,0.174092
N5K,8,11,0.131539
N5K,8,12,0.085041
N5K,8,13,0.138012
N5K,8,14,0.193143
N5K,8,15,0.102304
N5K,8,16,0.144521
N5K,8,17,0.192875
N5K,8,18,0.213367
N5K,8,19,0.537177
N5K,8,20,0.025744
N5K,8,21,0.068960
N5K,8,22,0.167462
N5K,8,23,0.167401
N5K,8,24,0.149071
N5K,8,25,0.171719
N5K,8,26,0.144023
N5K,8,27,0.132702
N5K,8,28,0.163915
N5K,8,29,0.251929
N5K,8,30,0.185640
N5K,8,31,0.186401
N5K,8,32,0.211604
N5K,8,33,0.592399
N5K,8,34,0.162354
N5K,8,35,0.152507
N5K,8,36,0.224243
N5K,8,37,0.104970
N5K,8,38,0.147386
N5K,8,39,0.086092
N5K,8,40,0.089399
N5K,8,41,0.196287
N5K,8,42,0.131928
N5K,8,43,0.129140
N5K,8,44,0.136850
N5K,8,45,0.185785
N5K,8,46,0.138662
N5K,8,47,0.852859
N5K,8,48,0.035992
N5K,8,49,0.108171
N5K,8,50,0.137829
N5K,8,51,0.065610
N5K,8,52,0.126188
N5K,8,53,0.133355
N5K,8,54,0.091913
N5K,8,55,0.158160
N5K,8,56,0.094947
N5K,8,57,0.073401
N5K,8,58,0.123909
N5K,8,59,0.192925
N5K,8,60,0.143893
N5K,8,61,0.182479
N5K,8,62,0.179433
N5K,10,0,
N5K,10,1,0.169200
N5K,10,2,0.186234
N5K,10,3,0.187417
N5K,10,4,0.170332
N5K,10,5,0.158362
N5K,10,6,0.117082
N5K,10,7,0.199401
N5K,10,8,0.191679
N5K,10,9,0.185593
N5K,10,10,0.212314
N5K,10,11,0.194962
N5K,10,12,0.202318
N5K,10,13,0.202033
N5K,10,14,0.508326
N5K,10,15,0.129114
N5K,10,16,0.201718
N5K,10,17,0.141053
N5K,10,18,0.126701
N5K,10,19,0.177254
N5K,10,20,0.194420
N5K,10,21,0.175101
N5K,10,22,0.201044
N5K,10,23,0.189082
N5K,10,24,0.223051
N5K,10,25,0.175717
N5K,10,26,0.244664
N5K,10,27,0.235063
N5K,10,28,0.167742
N5K,10,29,0.553700
N5K,10,30,0.111600
N5K,10,31,0.194248
N5K,10,32,0.143141
N5K,10,33,0.161227
N5K,10,34,0.161130
N5K,10,35,0.140343
N5K,10,36,0.156406
N5K,10,37,0.134492
N5K,10,38,0.203251
N5K,10,39,0.185269
N5K,10,40,0.171235
N5K,10,41,0.197420
N5K,10,42,0.111579
N5K,10,43,0.773501
N5K,10,44,0.239514
N5K,10,45,0.200215
N5K,10,46,0.090707
N5K,10,47,0.174680
N5K,10,48,0.188780
N5K,10,49,0.142698
N5K,10,50,0.187129
N5K,10,51,0.150035
N5K,10,52,0.271152
N5K,10,53,0.227623
N5K,10,54,0.189467
N5K,10,55,0.191354
N5K,10,56,0.253459
N5K,10,57,0.232316
N5K,6,0,
N5K,6,1,0.270815
N5K,6,2,0.293883
N5K,6,3,0.340477
N5K,6,4,0.306184
N5K,6,5,0.152411
N5K,6,6,0.203834
N5K,6,7,0.317493
N5K,6,8,0.266381
N5K,6,9,0.268695
N5K,6,10,0.290199
N5K,6,11,0.213712
N5K,6,12,0.278938
N5K,6,13,0.357829
N5K,6,14,0.317749
N5K,6,15,0.183769
N5K,6,16,0.224245
N5K,6,17,0.271291
N5K,6,18,0.331382
N5K,6,19,0.370180
N5K,6,20,0.292494
N5K,6,21,0.753112
N5K,6,22,0.196440
N5K,6,23,0.295541
N5K,6,24,0.323372
N5K,6,25,0.260698
N5K,6,26,0.188490
N5K,6,27,0.295573
N5K,6,28,0.190898
N5K,6,29,0.160930
N5K,6,30,0.244510
N5K,6,31,0.288717
N5K,6,32,0.168927
N5K,6,33,0.265130
N5K,6,34,0.311178
N5K,6,35,0.341562
N5K,6,36,0.754943
N5K,6,37,0.259975
N5K,6,38,0.155226
N5K,6,39,0.154731
N5K,6,40,0.208828
N5K,6,41,0.228432
N5K,6,42,0.207847
N5K,6,43,0.197478
N5K,6,44,0.327349
N5K,6,45,0.209293
N5K,6,46,0.223727
N5K,6,47,0.236149
N5K,6,48,0.280592
N5K,6,49,0.196300
N5K,6,50,0.832640
N5K,6,51,0.177022
N5K,6,52,0.207781
N5K,6,53,0.120680
N5K,6,54,0.197492
N5K,6,55,0.275186
N5K,6,56,0.124827
N5K,6,57,0.234561
N5K,6,58,0.204558
N5K,6,59,0.197699
N5K,6,60,0.243585
N5K,6,61,0.198952
N5K,6,62,0.283587
N5K,6,63,0.237488
N5K,6,64,0.038669
N5K,2,0,
N5K,2,1,0.208207
N5K,2,2,0.137581
N5K,2,3,0.130509
N5K,2,4,0.180436
N5K,2,5,0.210695
N5K,2,6,0.114891
N5K,2,7,0.179994
N5K,2,8,0.184910
N5K,2,9,0.179432
N5K,2,10,0.240134
