method,frame,mAP,recall,iou,accuracy
BiRefNet,0,97.8454,99.8106,97.6640,99.8942
BiRefNet,1,98.3382,99.7735,98.1192,99.9145
BiRefNet,2,98.1384,99.8349,97.9794,99.9080
BiRefNet,3,98.0688,99.8607,97.9349,99.9060
BiRefNet,4,97.7605,99.8733,97.6393,99.8925
BiRefNet,5,98.2174,99.7959,98.0205,99.9100
BiRefNet,6,97.8547,99.8794,97.7393,99.8974
BiRefNet,7,98.0387,99.8374,97.8824,99.9039
BiRefNet,8,97.9887,99.8631,97.8573,99.9029
BiRefNet,9,97.5465,99.8400,97.3942,99.8817
BiRefNet,10,97.9454,99.8309,97.7832,99.8993
BiRefNet,11,97.9648,99.8507,97.8215,99.9009
BiRefNet,12,98.1286,99.8316,97.9664,99.9074
BiRefNet,13,97.3947,99.8495,97.2519,99.8725
BiRefNet,14,98.9941,99.5890,98.5913,99.9339
BiRefNet,15,98.7220,99.7424,98.4709,99.9287
BiRefNet,16,99.1304,99.7286,98.8637,99.9481
BiRefNet,17,98.6823,99.8382,98.5247,99.9332
BiRefNet,18,99.1749,99.6230,98.8040,99.9463
BiRefNet,19,98.7303,99.8033,98.5386,99.9336
BiRefNet,20,99.0696,99.7370,98.8114,99.9459
BiRefNet,21,98.9371,99.7081,98.6514,99.9385
BiRefNet,22,98.7760,99.7579,98.5399,99.9337
BiRefNet,23,99.1735,99.6191,98.7988,99.9462
BiRefNet,24,99.1779,99.6441,98.8278,99.9476
BiRefNet,25,99.2267,99.6428,98.8750,99.9499
BiRefNet,26,99.2858,99.7020,98.9920,99.9552
BiRefNet,27,99.2195,99.6277,98.8530,99.9488
BiRefNet,28,99.3607,99.5588,98.9252,99.9521
BiRefNet,29,99.0237,99.7799,98.8079,99.9462
BiRefNet,30,99.1959,99.6762,98.8772,99.9489
BiRefNet,31,99.2051,99.6420,98.8527,99.9472
BiRefNet,32,99.1778,99.5716,98.7564,99.9420
BiRefNet,33,99.3505,99.6603,99.0152,99.9536
BiRefNet,34,99.3218,99.6204,98.9474,99.9495
BiRefNet,35,99.3156,99.5588,98.8804,99.9460
BiRefNet,36,99.4044,99.6251,99.0339,99.9531
BiRefNet,37,99.3754,99.5241,98.9054,99.9468
BiRefNet,38,99.3030,99.4185,98.7296,99.9379
BiRefNet,39,99.2635,99.5245,98.7949,99.9405
BiRefNet,40,99.3584,99.4433,98.8088,99.9411
BiRefNet,41,99.1813,99.5343,98.7233,99.9372
BiRefNet,42,99.2743,99.3697,98.6531,99.9346
BiRefNet,43,99.2864,99.4211,98.7158,99.9379
BiRefNet,44,99.3351,99.3262,98.6702,99.9353
BiRefNet,45,99.3384,99.4435,98.7892,99.9417
BiRefNet,46,99.3256,99.2925,98.6276,99.9342
BiRefNet,47,99.4397,99.3825,98.8291,99.9437
BiRefNet,48,99.4040,99.4796,98.8898,99.9469
BiRefNet,49,99.4052,99.3718,98.7844,99.9420
BiRefNet,50,99.4342,99.3401,98.7817,99.9420
BiRefNet,51,99.4535,99.0833,98.5467,99.9313
BiRefNet,52,99.3010,99.2674,98.5785,99.9327
BiRefNet,53,99.2158,99.3625,98.5882,99.9332
BiRefNet,54,99.3680,99.3406,98.7169,99.9391
BiRefNet,55,99.3989,99.2710,98.6786,99.9372
BiRefNet,56,99.3309,99.4882,98.8259,99.9439
BiRefNet,57,99.2020,99.5518,98.7609,99.9395
BiRefNet,58,99.0827,99.6031,98.6931,99.9346
BiRefNet,59,99.1964,99.5696,98.7728,99.9372
BiRefNet,60,99.1795,99.6657,98.8507,99.9398
