method,params_M,speed_ms_img,vram_MB,mean_mAP,mean_recall
BiRefNet,220.18,130,3066,78.32,97.14
CCNet,49.89,66.9,4166,91.77,86.06
CCNet-Re,49.87,90.2,6320,91.2,90.61
DEVA,241,1512,8570,88.02,97.53
DoraemonGPT,,1522,6158,29.61,25.92
FLMM,7706,1077,18086,52.43,51.3
FLMM+S2,7930.45,559.3,14131,56.72,58.07
FLMM+S3,8567.24,1096.3,14131,86.81,87.28
FLMM+X2,7768.22,541.5,14131,71.19,72.11
FPN-Re,28.49,78,4512,79.65,90.1
FSAM,636,1353000,12800,88.36,94.15
FoodMem,373.72,541.5,9368,95.2,96.47
S+X2,114.02,541.5,4510,60.42,61.66
SC+S2,276.26,559.3,4880,43.49,36.91
SC+S3,913.05,1096.3,6268,81.09,59.98
SC+X2,114.03,541.5,4880,67.55,62.11
SETR_MLA,311.5,706.6,9368,94.19,94.14
SF+S2,276.24,559.3,3700,58.27,59.66
SF+S3,913.03,1096.3,6268,93.98,93.96
SF+X2,114.01,541.5,3700,94.25,95.86
SeTM+S2,535.95,559.3,9368,59.48,61.12
SeTM+S3,1172.74,1096.3,9368,95.44,95.77
SeTN,94.82,290.5,6862,90.77,89.81
Seg+S2,276.25,559.3,4510,47.97,42.28
Seg+S3,913.04,1096.3,6268,79.52,57.13
SegMan_ADE,51.8,120,4510,52.73,49.03
SegMan_COCO,51.81,119,4880,59.69,44.12
SegMan_FS,51.79,114,3700,90.23,91.7
Swin-B,121.24,133.8,7034,91.47,94.09
Swin-S,81.22,117.9,6642,89.37,92.51
Y+S2,234.57,559.3,3446,56.52,58.43
Y+S3,871.36,1096.3,6268,91.44,93.8
Y+X2,72.34,541.5,2746,87.07,90.62
YOLO,10.12,56.6,2746,70.02,74.39
kMean++,,117,1,47.31,57.95
